kp,ki,kd,SetPoint
8.0,0.63,0.45,15.0

Trial Duration,Max Servo Angle,Min Servo Angle,Final Error,Max Distance,Min Distance,Average Error,Max Deviation
37.39999999999998,130.0,0.0,0.0,31.4,2.0,2.5703324808184145,16.4

Time,Distance,Error,Servo Angle,P Term,I Term,D Term,PID Output
0.0999999999999659,30.6,0.0,84.0,0.0,-19.75,0.0,-19.75
0.19999999999998863,31.0,0.0,84.0,0.0,-19.75,0.0,-19.75
0.30000000000001137,31.0,0.0,84.0,0.0,-19.75,0.0,-19.75
0.39999999999997726,31.0,0.0,84.0,0.0,-19.75,0.0,-19.75
0.5,31.0,0.0,84.0,0.0,-19.75,0.0,-19.75
0.5999999999999659,31.0,0.0,84.0,0.0,-19.75,0.0,-19.75
0.6999999999999886,30.4,0.0,84.0,0.0,-19.75,0.0,-19.75
0.8000000000000114,31.0,0.0,84.0,0.0,-19.75,0.0,-19.75
0.8999999999999773,31.0,0.0,84.0,0.0,-19.75,0.0,-19.75
1.0,30.8,0.0,84.0,0.0,-19.75,0.0,-19.75
1.099999999999966,31.0,0.0,84.0,0.0,-19.75,0.0,-19.75
1.1999999999999886,30.6,0.0,84.0,0.0,-19.75,0.0,-19.75
1.3000000000000114,31.0,0.0,84.0,0.0,-19.75,0.0,-19.75
1.3999999999999773,31.0,0.0,84.0,0.0,-19.75,0.0,-19.75
1.5,30.4,0.0,84.0,0.0,-19.75,0.0,-19.75
1.599999999999966,31.0,0.0,84.0,0.0,-19.75,0.0,-19.75
1.6899999999999977,31.0,0.0,84.0,0.0,-19.75,0.0,-19.75
1.8000000000000114,31.4,0.0,84.0,0.0,-19.75,0.0,-19.75
1.8999999999999773,31.0,0.0,84.0,0.0,-19.75,0.0,-19.75
1.990000000000009,30.6,0.0,84.0,0.0,-19.75,0.0,-19.75
2.099999999999966,30.8,15.8,0.0,126.4,31.25,0.07,157.72
2.1999999999999886,31.2,16.2,0.0,129.6,31.25,1.8,162.65
2.3000000000000114,30.2,15.2,0.0,121.6,31.25,-4.5,148.35
2.3999999999999773,30.6,15.6,0.0,124.8,31.25,1.78,157.83
2.5,30.6,15.6,0.0,124.8,31.25,0.0,156.05
2.599999999999966,27.6,12.6,0.0,100.8,31.25,-13.64,118.41
2.6999999999999886,26.2,11.2,0.0,89.6,31.25,-6.24,114.61
2.7899999999999636,23.6,8.6,0.0,68.8,31.25,-12.06,87.99
2.8899999999999864,19.2,4.2,20.0,33.6,31.25,-20.41,44.44
2.990000000000009,13.8,-1.2,68.0,-9.6,31.18,-25.31,-3.73
3.079999999999984,10.2,-4.8,89.0,-38.4,30.9,-17.23,-24.74
3.169999999999959,4.6,-10.4,130.0,-83.2,30.28,-26.81,-79.72
3.269999999999982,7.0,-8.0,87.0,-64.0,29.8,11.25,-22.95
3.3700000000000045,14.6,-0.4,2.0,-3.2,29.78,35.63,62.21
3.4599999999999795,2.4,-12.6,130.0,-100.8,29.06,-59.67,-131.42
3.5600000000000023,3.0,-12.0,129.0,-96.0,28.33,2.78,-64.89
3.6499999999999773,2.8,-12.2,130.0,-97.6,27.62,-0.97,-70.95
3.740000000000009,2.0,-13.0,130.0,-104.0,26.86,-3.83,-80.97
3.839999999999975,3.2,-11.8,127.0,-94.4,26.16,5.68,-62.56
3.930000000000007,4.0,-11.0,123.0,-88.0,25.51,3.83,-58.66
4.029999999999973,5.8,-9.2,105.0,-73.6,24.97,8.62,-40.01
4.1200000000000045,12.8,-2.2,24.0,-17.6,24.84,33.51,40.75
4.21999999999997,15.0,0.0,29.0,0.0,24.84,10.31,35.15
4.310000000000002,9.6,-5.4,109.0,-43.2,24.52,-25.58,-44.26
4.409999999999968,10.4,-4.6,73.0,-36.8,24.24,3.75,-8.81
4.5,11.2,-3.8,67.0,-30.4,24.02,3.83,-2.55
4.589999999999975,10.6,-4.4,79.0,-35.2,23.76,-2.87,-14.31
4.689999999999998,11.0,-4.0,71.0,-32.0,23.52,1.89,-6.58
4.779999999999973,10.8,-4.2,76.0,-33.6,23.27,-0.95,-11.27
4.8799999999999955,10.6,-4.4,78.0,-35.2,23.01,-0.95,-13.13
4.96999999999997,11.2,-3.8,69.0,-30.4,22.79,2.84,-4.77
5.069999999999993,11.0,-4.0,75.0,-32.0,22.55,-0.95,-10.4
5.159999999999968,11.2,-3.8,72.0,-30.4,22.32,0.94,-7.14
5.259999999999991,11.2,-3.8,73.0,-30.4,22.1,0.0,-8.3
5.349999999999966,11.4,-3.6,70.0,-28.8,21.89,0.96,-5.96
5.449999999999989,12.0,-3.0,64.0,-24.0,21.71,2.87,0.58
5.539999999999964,10.0,-5.0,93.0,-40.0,21.42,-9.57,-28.16
5.639999999999986,11.0,-4.0,71.0,-32.0,21.18,4.69,-6.14
5.729999999999961,11.2,-3.8,73.0,-30.4,20.95,0.95,-8.5
5.829999999999984,11.0,-4.0,77.0,-32.0,20.72,-0.96,-12.24
5.919999999999959,11.6,-3.4,68.0,-27.2,20.51,2.84,-3.84
6.019999999999982,10.4,-4.6,87.0,-36.8,20.24,-5.68,-22.24
6.109999999999957,11.0,-4.0,74.0,-32.0,20.0,2.84,-9.15
6.2099999999999795,11.0,-4.0,77.0,-32.0,19.77,0.0,-12.23
6.300000000000011,11.4,-3.6,72.0,-28.8,19.56,1.89,-7.35
6.389999999999986,12.0,-3.0,66.0,-24.0,19.38,2.87,-1.75
6.490000000000009,10.0,-5.0,95.0,-40.0,19.08,-9.47,-30.39
6.579999999999984,12.0,-3.0,60.0,-24.0,18.9,9.47,4.38
6.680000000000007,11.4,-3.6,77.0,-28.8,18.69,-2.87,-12.98
6.769999999999982,11.4,-3.6,75.0,-28.8,18.48,0.0,-10.32
6.8700000000000045,12.0,-3.0,67.0,-24.0,18.3,2.84,-2.86
6.9599999999999795,11.4,-3.6,78.0,-28.8,18.09,-2.87,-13.59
7.060000000000002,11.0,-4.0,81.0,-32.0,17.85,-1.87,-16.03
7.149999999999977,11.0,-4.0,79.0,-32.0,17.61,0.0,-14.39
7.25,12.0,-3.0,66.0,-24.0,17.43,4.74,-1.83
7.339999999999975,12.0,-3.0,71.0,-24.0,17.25,0.0,-6.75
7.439999999999998,12.0,-3.0,71.0,-24.0,17.08,0.0,-6.92
7.529999999999973,12.2,-2.8,69.0,-22.4,16.91,0.96,-4.53
7.6299999999999955,11.4,-3.6,80.0,-28.8,16.7,-3.79,-15.89
7.71999999999997,10.8,-4.2,84.0,-33.6,16.45,-2.81,-19.97
7.819999999999993,11.0,-4.0,79.0,-32.0,16.21,0.95,-14.84
7.909999999999968,11.0,-4.0,81.0,-32.0,15.97,0.0,-16.03
8.009999999999991,10.4,-4.6,88.0,-36.8,15.7,-2.87,-23.97
8.099999999999966,11.0,-4.0,78.0,-32.0,15.46,2.84,-13.69
8.199999999999989,11.0,-4.0,81.0,-32.0,15.23,0.0,-16.77
8.289999999999964,11.0,-4.0,82.0,-32.0,14.99,0.0,-17.01
8.379999999999995,10.8,-4.2,84.0,-33.6,14.74,-0.96,-19.81
8.479999999999961,10.4,-4.6,89.0,-36.8,14.47,-1.89,-24.22
8.579999999999984,10.8,-4.2,82.0,-33.6,14.22,1.86,-17.53
8.669999999999959,10.0,-5.0,94.0,-40.0,13.92,-3.83,-29.91
8.769999999999982,11.2,-3.8,76.0,-30.4,13.7,5.68,-11.02
8.859999999999957,10.0,-5.0,97.0,-40.0,13.4,-5.74,-32.34
8.95999999999998,10.0,-5.0,91.0,-40.0,13.11,0.0,-26.89
9.050000000000011,10.0,-5.0,92.0,-40.0,12.81,0.0,-27.19
9.139999999999986,10.0,-5.0,92.0,-40.0,12.52,0.0,-27.48
9.240000000000009,10.0,-5.0,92.0,-40.0,12.22,0.0,-27.78
