kp,ki,kd,SetPoint
8.0,0.63,0.45,15.0

Trial Duration,Max Servo Angle,Min Servo Angle,Final Error,Max Distance,Min Distance,Average Error,Max Deviation
74.28000000000009,130.0,0.0,0.0,31.0,2.4,2.889119170984456,16.0

Time,Distance,Error,Servo Angle,P Term,I Term,D Term,PID Output
0.10000000000002274,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
0.19000000000005457,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
0.2900000000000773,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
0.37999999999999545,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
0.4800000000000182,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
0.57000000000005,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
0.6700000000000728,14.8,-0.2,87.0,-1.6,-19.67,-0.94,-22.2
0.7599999999999909,11.4,-3.6,129.0,-28.8,-19.88,-16.11,-64.79
0.8600000000000136,8.2,-6.8,130.0,-54.4,-20.3,-14.69,-89.39
0.9600000000000364,3.4,-11.6,130.0,-92.8,-20.99,-22.74,-136.52
1.0600000000000591,7.6,-7.4,126.0,-59.2,-21.44,19.09,-61.55
1.1600000000000819,23.8,8.8,0.0,70.4,-20.89,72.9,122.41
1.25,4.8,-10.2,130.0,-81.6,-21.48,-92.93,-196.02
1.3500000000000227,16.8,1.8,18.0,14.4,-21.37,53.47,46.5
1.4400000000000546,5.0,-10.0,130.0,-80.0,-21.95,-56.49,-158.44
1.5400000000000773,4.8,-10.2,130.0,-81.6,-22.57,-0.93,-105.1
1.6399999999999864,4.0,-11.0,130.0,-88.0,-23.24,-3.71,-114.95
1.740000000000009,8.4,-6.6,121.0,-52.8,-23.64,20.2,-56.24
1.830000000000041,13.6,-1.4,75.0,-11.2,-23.73,24.12,-10.81
1.9300000000000637,2.6,-12.4,130.0,-99.2,-24.46,-52.66,-176.32
2.0200000000000955,3.4,-11.6,130.0,-92.8,-25.16,3.71,-114.25
2.1200000000000045,3.8,-11.2,130.0,-89.6,-25.83,1.88,-113.56
2.2200000000000273,9.2,-5.8,112.0,-46.4,-26.18,25.05,-47.53
2.310000000000059,8.8,-6.2,130.0,-49.6,-26.55,-1.89,-78.05
2.410000000000082,10.2,-4.8,123.0,-38.4,-26.84,6.56,-58.68
2.5,11.4,-3.6,115.0,-28.8,-27.06,5.51,-50.35
2.6000000000000227,13.6,-1.4,93.0,-11.2,-27.15,10.21,-28.14
2.7000000000000455,16.6,1.6,65.0,12.8,-27.05,13.78,-0.47
2.800000000000068,25.8,10.8,0.0,86.4,-26.39,42.24,102.26
2.900000000000091,24.2,9.2,24.0,73.6,-25.82,-7.27,40.51
3.0,27.4,12.4,0.0,99.2,-25.05,14.55,88.7
3.1000000000000227,26.4,11.4,2.0,91.2,-24.34,-4.55,62.31
3.1900000000000546,27.6,12.6,0.0,100.8,-23.56,5.4,82.64
3.2900000000000773,26.4,11.4,2.0,91.2,-22.86,-5.51,62.83
3.3899999999999864,27.2,12.2,0.0,97.6,-22.1,3.64,79.13
3.490000000000009,26.2,11.2,1.0,89.6,-21.41,-4.55,63.64
3.590000000000032,29.6,14.6,0.0,116.8,-20.5,15.3,111.6
3.6900000000000546,18.0,3.0,115.0,24.0,-20.32,-53.81,-50.13
3.7900000000000773,14.6,-0.4,104.0,-3.2,-20.34,-15.61,-39.15
3.8799999999999955,10.8,-4.2,130.0,-33.6,-20.6,-17.45,-71.65
3.980000000000018,8.8,-6.2,130.0,-49.6,-20.97,-9.28,-79.85
4.080000000000041,6.6,-8.4,130.0,-67.2,-21.47,-10.42,-99.09
4.170000000000073,5.2,-9.8,130.0,-78.4,-22.07,-6.49,-106.96
4.2700000000000955,3.8,-11.2,130.0,-89.6,-22.73,-6.63,-118.96
4.360000000000014,3.2,-11.8,130.0,-94.4,-23.44,-2.81,-120.65
4.460000000000036,3.4,-11.6,130.0,-92.8,-24.14,0.94,-116.0
4.560000000000059,3.4,-11.6,130.0,-92.8,-24.83,0.0,-117.63
4.650000000000091,4.6,-10.4,130.0,-83.2,-25.46,5.63,-103.03
4.75,6.6,-8.4,130.0,-67.2,-25.96,9.38,-83.78
4.840000000000032,7.8,-7.2,130.0,-57.6,-26.38,5.74,-78.24
4.940000000000055,9.4,-5.6,129.0,-44.8,-26.72,7.5,-64.02
5.030000000000086,10.6,-4.4,121.0,-35.2,-26.98,5.68,-56.5
5.1299999999999955,12.2,-2.8,107.0,-22.4,-27.15,7.5,-42.05
5.230000000000018,14.4,-0.6,86.0,-4.8,-27.18,10.1,-21.88
5.330000000000041,17.0,2.0,64.0,16.0,-27.06,11.94,0.88
5.420000000000073,23.2,8.2,0.0,65.6,-26.57,28.76,67.8
5.5200000000000955,26.4,11.4,0.0,91.2,-25.86,14.55,79.89
5.6200000000000045,27.4,12.4,0.0,99.2,-25.08,4.5,78.62
5.720000000000027,25.4,10.4,15.0,83.2,-24.45,-9.18,49.57
5.82000000000005,28.8,13.8,0.0,110.4,-23.59,15.45,102.26
5.920000000000073,26.6,11.6,4.0,92.8,-22.86,-9.8,60.14
6.0200000000000955,27.8,12.8,0.0,102.4,-22.07,5.45,85.78
6.1200000000000045,26.0,11.0,6.0,88.0,-21.4,-8.27,58.34
6.220000000000027,25.2,10.2,7.0,81.6,-20.76,-3.6,57.24
6.310000000000059,24.8,9.8,8.0,78.4,-20.16,-1.84,56.41
6.410000000000082,18.4,3.4,87.0,27.2,-19.95,-30.0,-22.75
6.509999999999991,14.6,-0.4,105.0,-3.2,-19.98,-17.81,-40.99
6.610000000000014,10.8,-4.2,130.0,-33.6,-20.24,-17.27,-71.11
6.7000000000000455,9.6,-5.4,130.0,-43.2,-20.57,-5.57,-69.33
6.800000000000068,11.4,-3.6,106.0,-28.8,-20.78,8.35,-41.23
6.889999999999986,5.8,-9.2,130.0,-73.6,-21.33,-26.53,-121.46
6.990000000000009,4.2,-10.8,130.0,-86.4,-21.98,-7.42,-115.81
7.090000000000032,2.6,-12.4,130.0,-99.2,-22.73,-7.5,-129.43
7.180000000000064,2.4,-12.6,130.0,-100.8,-23.48,-0.94,-125.22
7.280000000000086,3.0,-12.0,130.0,-96.0,-24.21,2.78,-117.43
7.3799999999999955,2.8,-12.2,130.0,-97.6,-24.94,-0.95,-123.48
7.470000000000027,2.6,-12.4,130.0,-99.2,-25.68,-0.94,-125.82
7.57000000000005,3.2,-11.8,130.0,-94.4,-26.39,2.81,-117.98
7.660000000000082,4.4,-10.6,130.0,-84.8,-27.02,5.62,-106.2
7.759999999999991,6.8,-8.2,130.0,-65.6,-27.52,11.13,-81.99
7.860000000000014,8.2,-6.8,130.0,-54.4,-27.93,6.63,-75.69
7.9500000000000455,9.8,-5.2,127.0,-41.6,-28.23,7.58,-62.26
8.050000000000068,10.6,-4.4,124.0,-35.2,-28.5,3.79,-59.91
8.139999999999986,13.4,-1.6,93.0,-12.8,-28.59,12.86,-28.54
8.240000000000009,16.2,1.2,71.0,9.6,-28.52,12.86,-6.06
8.340000000000032,19.8,4.8,37.0,38.4,-28.23,16.87,27.04
8.440000000000055,27.6,12.6,0.0,100.8,-27.44,35.1,108.46
8.540000000000077,26.6,11.6,3.0,92.8,-26.72,-4.5,61.58
8.629999999999995,25.0,10.0,18.0,80.0,-26.11,-7.35,46.55
8.740000000000009,25.2,10.2,7.0,81.6,-25.47,0.9,57.03
8.830000000000041,27.2,12.2,0.0,97.6,-24.71,9.09,81.98
8.930000000000064,26.4,11.4,1.0,91.2,-24.02,-3.67,63.51
9.030000000000086,27.8,12.8,0.0,102.4,-23.22,6.3,85.48
9.129999999999995,25.2,10.2,17.0,81.6,-22.59,-11.94,47.07
9.230000000000018,31.0,16.0,0.0,128.0,-21.58,25.84,132.26
9.330000000000041,17.4,2.4,130.0,19.2,-21.44,-63.09,-65.33
9.430000000000064,13.8,-1.2,112.0,-9.6,-21.51,-16.53,-47.64
9.520000000000095,10.8,-4.2,130.0,-33.6,-21.77,-13.78,-69.14
9.620000000000005,9.4,-5.6,130.0,-44.8,-22.11,-6.49,-73.4
9.720000000000027,8.0,-7.0,130.0,-56.0,-22.53,-6.49,-85.03
9.81000000000006,7.8,-7.2,130.0,-57.6,-22.96,-0.95,-81.51
9.910000000000082,5.2,-9.8,130.0,-78.4,-23.54,-12.32,-114.26
10.0,4.0,-11.0,130.0,-88.0,-24.2,-5.62,-117.83
10.100000000000023,4.0,-11.0,130.0,-88.0,-24.87,0.0,-112.87
10.200000000000045,5.0,-10.0,130.0,-80.0,-25.47,4.69,-100.78
10.290000000000077,4.8,-10.2,130.0,-81.6,-26.07,-0.95,-108.62
10.389999999999986,6.4,-8.6,130.0,-68.8,-26.59,7.42,-87.97
10.480000000000018,7.8,-7.2,130.0,-57.6,-27.02,6.63,-77.99
10.580000000000041,8.4,-6.6,130.0,-52.8,-27.41,2.84,-77.37
10.670000000000073,9.8,-5.2,127.0,-41.6,-27.72,6.63,-62.69
10.770000000000095,10.6,-4.4,124.0,-35.2,-27.98,3.79,-59.39
10.870000000000005,12.4,-2.6,105.0,-20.8,-28.14,8.35,-40.59
10.960000000000036,15.4,0.4,76.0,3.2,-28.12,13.78,-11.14
