kp,ki,kd,SetPoint
8.0,0.63,0.45,15.0

Trial Duration,Max Servo Angle,Min Servo Angle,Final Error,Max Distance,Min Distance,Average Error,Max Deviation
9.719999999999999,130.0,0.0,0.0,31.0,3.0,4.283168316831683,16.0

Time,Distance,Error,Servo Angle,P Term,I Term,D Term,PID Output
6.77,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
6.870000000000001,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
6.960000000000001,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
7.059999999999999,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
7.149999999999999,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
7.25,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
7.34,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
7.439999999999998,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
7.529999999999998,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
7.629999999999999,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
7.719999999999999,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
7.82,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
7.91,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
8.009999999999998,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
8.099999999999998,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
8.2,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
8.3,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
8.39,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
8.489999999999998,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
8.579999999999998,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
8.68,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
8.77,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
8.870000000000001,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
8.96,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
9.059999999999999,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
9.149999999999999,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
9.25,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
9.34,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
9.439999999999998,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
9.529999999999998,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
9.629999999999999,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
9.719999999999999,15.0,0.0,84.0,0.0,-19.66,0.0,-19.66
